Park Place,@parkplacetempe,https://www.facebook.com/ParkPlaceTempe/
Vertex,@vertexapts,https://www.facebook.com/vertexapts/
Rise,@riseonapache,https://www.facebook.com/RiseOnApache/
Oliv,@olivtempe,https://www.facebook.com/OlivTempe/
Apollo,@apollotempe,https://www.facebook.com/ApolloTempe/
Nine20,@nine20tempe,https://www.facebook.com/Nine20Tempe/
Boulevard 1900,@blvd1900,https://www.facebook.com/blvd1900/
District,@districtonapache,https://www.facebook.com/thedistrictonapache/
Union,@uniontempe,https://www.facebook.com/UnionTempe/
Sol,@livesolarizonastateuniversity,https://www.facebook.com/LiveSoLArizonaStateUniversity/
Nexa,@nexaapts,https://www.facebook.com/NexaApartments
